date,value
2025-01-01,100914.15
2025-01-02,98380.05
2025-01-03,105251.35
2025-01-04,107321.69
2025-01-05,100146.89
2025-01-06,78593.46
2025-01-07,69383.52
2025-01-08,109551.27
2025-01-09,111949.6
2025-01-10,110940.87
2025-01-11,117638.19
2025-01-12,118833.38
2025-01-13,93198.09
2025-01-14,82881.72
2025-01-15,122402.53
2025-01-16,119922.12
2025-01-17,125106.25
2025-01-18,122623.35
2025-01-19,129635.35
2025-01-20,103350.22
2025-01-21,89445.41
2025-01-22,129457.21
2025-01-23,136667.62
2025-01-24,134036.41
2025-01-25,134715.02
2025-01-26,136443.6
2025-01-27,115596.93
2025-01-28,101596.33
2025-01-29,143238.2
2025-01-30,144792.46
2025-01-31,151424.94
2025-02-01,145280.75
2025-02-02,146463.27
2025-02-03,122058.68
2025-02-04,112847.94
2025-02-05,155886.92
2025-02-06,153658.16
2025-02-07,152979.53
2025-02-08,154526.56
2025-02-09,160451.78
2025-02-10,137229.76
2025-02-11,123129.46
2025-02-12,161003.47
2025-02-13,165196.48
2025-02-14,166350.06
2025-02-15,168156.07
2025-02-16,171614.29
2025-02-17,146170.79
2025-02-18,134036.74
2025-02-19,173702.74
2025-02-20,175867.36
2025-02-21,178393.86
2025-02-22,173628.53
2025-02-23,178540.99
2025-02-24,154588.88
2025-02-25,140583.37
2025-02-26,183174.57
2025-02-27,189984.82
2025-02-28,184402.51
2025-03-01,191404.84
2025-03-02,184951.39
2025-03-03,165495.34
2025-03-04,153488.26
2025-03-05,196258.67
2025-03-06,198133.68
2025-03-07,199880.04
2025-03-08,197953.82
2025-03-09,199112.94
2025-03-10,179573.93
2025-03-11,162926.09
2025-03-12,201172.94
2025-03-13,203100.14
2025-03-14,205241.64
2025-03-15,210991.48
2025-03-16,211427.28
2025-03-17,189571.46
2025-03-18,172718.24
2025-03-19,215975.62
2025-03-20,218876.77
2025-03-21,217571.96
2025-03-22,221370.33
2025-03-23,219514.22
2025-03-24,196910.84
2025-03-25,183354.79
2025-03-26,222412.48
2025-03-27,228960.92
2025-03-28,227591.79
2025-03-29,230537.48
2025-03-30,233442.24
2025-03-31,209839.59
2025-04-01,196996.16
2025-04-02,236204.54
2025-04-03,236730.11
2025-04-04,239260.85
2025-04-05,235938.0
2025-04-06,238158.66
2025-04-07,215031.9
2025-04-08,202508.26
2025-04-09,248199.32
2025-04-10,245783.56
2025-04-11,248865.51
2025-04-12,255397.68
2025-04-13,251931.21
2025-04-14,231712.55
2025-04-15,213199.15
2025-04-16,256883.69
2025-04-17,256149.93
2025-04-18,259482.9
2025-04-19,264520.92
2025-04-20,258318.04
2025-04-21,241303.27
2025-04-22,227213.21
2025-04-23,266217.55
2025-04-24,265161.83
2025-04-25,271216.39
2025-04-26,270911.52
2025-04-27,274698.03
2025-04-28,250565.56
2025-04-29,241805.34
2025-04-30,277781.93
